"Issue Type","Summary","Description","Priority","Epic Name","Epic Link","Story Points","Labels","Labels","Labels","Labels","Labels"
"Epic","EP13 Deployment & DevOps","Docker, cloud deployment of all three tiers, scheduled jobs and production hardening.","Medium","EP13 Deployment & DevOps","","","fyp","devops","","",""
"Epic","EP14 Documentation & FYP Report","SRS, design docs, results, final report, slides, demo video and viva preparation.","Highest","EP14 Documentation & FYP Report","","","fyp","docs","","",""
"Story","ARCHITECTURE SOLUTION: end-to-end system design, dataset selection and data integration plan","PURPOSE
Single source of truth for the technical solution: what we build, which datasets power it,
and exactly how every dataset flows into the running system. Supervisor sign-off on this
ticket gates the start of heavy feature coding.

====================================================================
1. SOLUTION OVERVIEW
====================================================================
Loosely-coupled 3-tier system plus a dedicated ML microservice:

    React SPA (Customer UI + Admin UI)
          |  REST + JWT
    NestJS API Gateway  --Mongoose-->  MongoDB
          |  internal HTTP (x-api-key)
    Python FastAPI ML Service  --pymongo-->  MongoDB
          ^
          +--- nightly batch training job (cron)

Why a separate Python service instead of ML inside NestJS:
 - The mature ML stack (pandas, scikit-learn, implicit, LightGBM, statsmodels) is Python only.
 - Training is CPU-heavy and must never block API request handling.
 - Gives the report a genuine microservice architecture with an explicit service contract.

Serving model = batch + real-time hybrid:
 - Batch (nightly): user recommendations, item-item neighbours, 30-day forecasts, user profiles.
 - Real-time: session-based recommendations from the last 5 events, similar-items lookup,
   assistant queries.

====================================================================
2. COMPONENT RESPONSIBILITIES
====================================================================
React SPA       - rendering, client state, event tracking calls, charts (Recharts).
NestJS gateway  - authN/authZ (JWT + role guards), DTO validation, business rules, Mongo
                  access, ML client with timeout + fallback chain, cron schedulers.
MongoDB         - single shared datastore: users, products, categories, cart, wishlist,
                  orders, reviews, user_events, user_profiles, recommendations,
                  sales_daily, forecasts, stock_alerts.
FastAPI ML      - feature engineering, training, inference, model artifacts (.joblib),
                  model versioning. No business logic and never exposed to the browser.

====================================================================
3. DATASET SELECTION (decision + justification)
====================================================================
A new platform has zero history, so models are bootstrapped from public datasets plus a
calibrated synthetic generator. Final selection:

[PRIMARY - RECOMMENDATION]  RetailRocket Recommender System Dataset (Kaggle)
  Why: ~2.7M real implicit-feedback events with exactly the event types we track
       (view / addtocart / transaction), plus item property and category-tree files.
       Closest public match to our user_events schema, so the recommender trains on
       realistic behaviour rather than invented data.
  Feeds: user_events, products (item properties), user_profiles, recommender training.

[PRIMARY - FORECASTING]  Online Retail II (UCI)
  Why: ~2 years of real transactional invoices with quantity, unit price and timestamps.
       Long enough per-SKU history to build lag and rolling features, capture weekly
       seasonality, and support a fair time-based split for a 30-day horizon.
  Feeds: sales_daily, forecasting training and evaluation.

[SECONDARY - CATALOG ENRICHMENT]  Olist Brazilian E-Commerce (Kaggle)
  Why: complete relational e-commerce schema (orders, order_items, customers, reviews)
       used as the reference model for our order status flow and to enrich the catalog
       with realistic review and rating distributions.
  Feeds: reviews, products.ratingAvg / ratingCount, orders.status state machine.

[DEMO + LOCAL SEASONALITY]  Custom synthetic generator (data/seed/05_synthetic_generator.py)
  Why: public datasets are anonymised and non-local. The generator produces 12-24 months of
       demo-ready history with Zipf popularity (80/20), realistic funnel drop-off
       (view 100% -> cart ~10% -> purchase ~3%), session-based browsing, weekend and promo
       spikes, and local seasonality (Ramzan, Eid, summer, school season) that the demo and
       the Pakistani-holiday Prophet configuration need.
  Feeds: demo seeding of user_events and sales_daily. Never used for headline metrics.

[LEARNING ONLY]  MovieLens 100k - CF concept practice, not shipped.

Honesty rule for the report: state explicitly that models were trained and evaluated on the
public RetailRocket and Online Retail II datasets, with a calibrated synthetic generator used
for demo seeding only. All headline evaluation numbers must come from real public data.

====================================================================
4. DATASET -> COLLECTION FIELD MAPPING
====================================================================
RetailRocket events.csv
  visitorid    -> user_events.userId / anonId
  itemid       -> user_events.productId
  event        -> user_events.eventType  (view -> view, addtocart -> add_to_cart,
                                          transaction -> purchase)
  timestamp    -> user_events.timestamp  (epoch ms -> ISO Date)
  derived      -> user_events.sessionId  (30-minute inactivity gap)

RetailRocket item_properties + category_tree
  itemid       -> products._id / sku
  categoryid   -> products.categoryId  (category_tree -> categories)
  available    -> products.isActive and initial stock
  hashed props -> products.attributes, products.tags

Online Retail II
  StockCode    -> products.sku (joined onto the catalog)
  Description  -> products.title / description (content-based text source)
  InvoiceDate  -> sales_daily.date (bucketed per day)
  Quantity     -> sales_daily.unitsSold (sum per product per day)
  Price        -> sales_daily.avgPrice, sales_daily.revenue
  derived      -> isWeekend, isHoliday, promoFlag, discountPct, stockOutHours

Olist
  reviews      -> reviews collection, products.ratingAvg / ratingCount
  order flow   -> orders.status reference states

Synthetic generator
  produces     -> user_events + sales_daily rows in the same schema, tagged
                  source: ""synthetic"" so evaluation queries can exclude them.

====================================================================
5. INTEGRATION PIPELINE (raw dataset -> screen)
====================================================================
  data/raw/                    downloaded archives (git-ignored)
        |   01_load_products.py, 02_load_users.py
  MongoDB catalog              products, categories, users
        |   03_load_events.py
  MongoDB user_events          unified implicit-feedback stream
        |   04_build_sales_daily.py  (aggregate per product, per day)
  MongoDB sales_daily          forecasting training table
        |   ml-service/features/*  (event weighting + decay | lag/rolling/calendar features)
  Feature matrices             user-item CSR matrix | LightGBM tabular frame
        |   training/train_recommender.py, training/train_forecast.py  (nightly cron)
  models/*.joblib              versioned artifacts, loaded once at FastAPI startup
        |   batch inference
  MongoDB recommendations + forecasts   (precomputed cache collections)
        |   NestJS reads cache, or calls ML live for session-based recommendations
  React UI                     Recommended For You, Similar Products, Admin Forecast page

Event weighting that converts the raw stream into implicit feedback:
  search 1 | click 2 | view 3 (+2 if dwellTimeSec > 30) | wishlist 5 | add_to_cart 8 | purchase 15
  time decay:  weight_final = weight * exp(-0.05 * days_ago)

====================================================================
6. SERVICE CONTRACT (NestJS -> FastAPI, never exposed to the browser)
====================================================================
  POST /ml/recommend      { userId, limit, context }
                          -> { items: [{ productId, score, reason }], modelVersion }
  POST /ml/similar-items  { productId, limit }  -> { items: [...] }
  POST /ml/forecast       { productId, days }
                          -> { predictions: [{ date, predictedUnits, lower, upper }], metrics }
  POST /ml/train/recommender   (admin / cron only)
  POST /ml/train/forecast      (admin / cron only)
  GET  /ml/health              -> { status, models: { name: version } }

Transport: internal HTTP, shared secret in the x-api-key header, 800ms-1500ms client timeout.

====================================================================
7. RESILIENCE AND GRACEFUL DEGRADATION
====================================================================
Recommendation fallback chain (the site must never render an empty rail):
  ML personalized -> cached recommendations collection -> category-affinity picks
  -> global popular products (Mongo aggregation)
The forecast page degrades to the last persisted forecasts document with a ""stale as of""
banner. ML outages are logged and surfaced on the admin health card, never to the customer.

====================================================================
8. MODEL LIFECYCLE
====================================================================
Versioning: a modelVersion string (e.g. als_v2, lgbm_v3) is stored on every recommendations
and forecasts document so any result is traceable to the artifact that produced it.
Retrain cadence: recommender weekly plus nightly user-profile refresh; forecasting daily
batch over the 30-day horizon. Triggered by cron, plus POST /admin/ml/retrain for demos.

====================================================================
9. NON-FUNCTIONAL TARGETS
====================================================================
 - Recommendation API p95 < 500ms with cache, at 100 concurrent users.
 - ML call timeout <= 1.5s; zero user-visible errors when the ML service is down.
 - Indexes in place before demo: user_events{userId:1,timestamp:-1},
   sales_daily{productId:1,date:1} unique, recommendations{userId:1} unique,
   products{categoryId:1,price:1} and a text index on title+tags.
 - Secrets only in .env; ML service not publicly reachable; CORS restricted to the
   frontend origin; throttling on auth and assistant endpoints.

====================================================================
ACCEPTANCE CRITERIA
====================================================================
 - docs/03-architecture.png committed and matching the diagram above.
 - docs/06-ml-design.md records dataset choice, justification and the integration pipeline.
 - Dataset -> collection mapping verified against the real dataset column names.
 - Service contract agreed and stubbed in both NestJS and FastAPI.
 - Fallback chain and non-functional targets written into the SRS.
 - Supervisor sign-off recorded before backend feature work starts.","Highest","","EP2 Architecture & System Design","13","design","architecture","data","w2",""
"Task","Freeze project scope: 4 modules and in/out-of-scope table","Lock the scope so it cannot creep later.

Scope:
- M1 Personalized Recommendation Engine (core, graded)
- M2 Demand Forecasting Engine (core, graded)
- M3 Customer Behavior Analytics (medium priority)
- M4 Generative AI Shopping Assistant (optional extension, only if time allows)

Acceptance criteria:
- In-scope list written: catalog, cart, orders, event tracking, hybrid recommendation,
  30-day per-product forecast, admin analytics dashboard.
- Out-of-scope list written explicitly: real payment gateway, real-time streaming (Kafka),
  multi-language/multi-currency, mobile app, delivery/rider tracking.
- Both tables committed to docs/01-proposal.md and shown to the supervisor.","Highest","","EP1 Project Setup & Planning","3","planning","w1","","",""
"Task","Define user roles and permission matrix","Define Customer and Admin roles (Seller only if the team has 3+ members).

Acceptance criteria:
- Role x capability matrix documented (browse, cart, order, recommendations, assistant vs
  products CRUD, orders, analytics, forecast, stock alerts).
- Route-level permissions listed so the NestJS roles guard can be built directly from it.","High","","EP1 Project Setup & Planning","2","planning","w1","","",""
"Task","Create GitHub monorepo and commit folder structure","Create ecommerce-ai-platform repo with the agreed monorepo layout.

Acceptance criteria:
- Folders created: docs/, frontend/, backend/, ml-service/, data/{raw,processed,seed}/.
- .gitignore excludes .env, node_modules, venv, data/raw large files, models/*.joblib.
- README.md explains how to run each of the three services.
- Branching convention agreed (feature/*, one branch per module) and written in README.","Highest","","EP1 Project Setup & Planning","2","setup","w1","","",""
"Task","Install and verify the development toolchain","Day-1 environment setup on every team machine.

Acceptance criteria:
- Node.js 20 LTS, Python 3.11+, MongoDB Community 7 (or Atlas M0), Git verified by version output.
- VS Code extensions installed: ESLint, Prettier, Tailwind, Python, Thunder Client.
- MongoDB Compass connects; Postman/Thunder Client can hit a test endpoint.
- npm i -g @nestjs/cli succeeds.
- Figma, draw.io and Jupyter available for design and experiments.","High","","EP1 Project Setup & Planning","2","setup","w1","","",""
"Task","Write the FYP proposal with measurable objectives","Draft docs/01-proposal.md.

Acceptance criteria:
- Title, problem statement (over-stock / under-stock and generic non-personalized catalogs).
- Four measurable objectives:
  1. Hybrid recommender achieving >= 25% Precision@10 improvement over the popularity baseline.
  2. Demand forecasting model achieving >= 30% MAE improvement over the naive baseline.
  3. 30-day forecast plus automatic restocking alerts for admins.
  4. Customer behavior analytics producing actionable segments.
- Scope tables, tech stack and 16-week plan included.
- Supervisor feedback captured in the ticket comments.","Highest","","EP1 Project Setup & Planning","5","planning","docs","w1","",""
"Task","Set up the Jira board and 16-week milestone plan","Configure this board so progress is demonstrable to the supervisor.

Acceptance criteria:
- Board columns: Backlog / To Do / In Progress / In Review / Done.
- Sprints or week labels (w1..w16) mapped to the roadmap in the guide.
- Milestones flagged: Week 4 vertical slice, Week 9 hybrid recommender, Week 12 admin
  forecast dashboard, Week 15 deployment, Week 16 final submission.","Medium","","EP1 Project Setup & Planning","2","planning","w1","","",""
"Task","Use case diagram for Customer, Admin and ML Service actors","Model actors and use cases in draw.io.

Acceptance criteria:
- Actors: Customer, Admin, ML Service (system actor).
- Use cases covered: Register/Login, Browse, Search, View Product, Add to Cart, Checkout,
  Get Recommendations, Ask Assistant, Manage Products, View Analytics, View Demand Forecast,
  Receive Stock Alert.
- Exported to docs/ and referenced from the SRS.","High","","EP2 Architecture & System Design","3","design","w2","","",""
"Task","System architecture diagram","Produce docs/03-architecture.png from the agreed solution.

Acceptance criteria:
- Shows React SPA, NestJS gateway, MongoDB, FastAPI ML service and the nightly training job.
- Protocol on every edge (REST+JWT, Mongoose, internal HTTP+API key).
- Annotated with the terms used in the report: loosely coupled microservice,
  batch + real-time hybrid serving.","Highest","","EP2 Architecture & System Design","3","design","w2","","",""
"Task","MongoDB collection schemas and index plan","Design all collections and the indexes they need.

Collections: users, products, categories, cart, wishlist, orders (embedded order_items),
reviews, user_events, user_profiles, recommendations, sales_daily, forecasts, stock_alerts.

Acceptance criteria:
- Field-level schema written for products, user_events, user_profiles, sales_daily,
  forecasts and recommendations.
- Index plan documented and justified:
  user_events {userId:1, timestamp:-1} and {productId:1, eventType:1};
  products {categoryId:1, price:1} plus text index on title+tags;
  sales_daily {productId:1, date:1} unique compound;
  recommendations {userId:1} unique; orders {userId:1, createdAt:-1}.
- ER/collection diagram exported to docs/04-er-diagram.png.","Highest","","EP2 Architecture & System Design","5","design","database","w2","",""
"Task","REST API contract (public and internal)","Write docs/05-api-contract.md so frontend and backend can be built in parallel.

Acceptance criteria:
- Public endpoints specified with request/response shapes and status codes for:
  auth, products, categories, cart, wishlist, orders, events, recommendations,
  assistant and all /admin/* routes.
- Internal NestJS -> FastAPI endpoints specified (/ml/recommend, /ml/similar-items,
  /ml/forecast, /ml/train/*, /ml/health) and marked as not browser-exposed.
- Error envelope and pagination convention agreed.","Highest","","EP2 Architecture & System Design","5","design","api","w2","",""
"Task","Low-fidelity wireframes for all screens in Figma","Wireframe before coding so the UI is consistent.

Acceptance criteria:
- 11 customer screens: Home, Category listing + filters, Search results, Product detail,
  Cart, Checkout, Order success, My orders, Wishlist, Profile, AI Assistant chat.
- 8 admin screens: Overview KPIs, Products list + add/edit, Orders, Customers + segments,
  Sales analytics, Demand Forecast, Inventory & stock alerts, Recommendation performance.
- A single colour and typography system chosen and applied.
- Exported to docs/ for the report.","High","","EP2 Architecture & System Design","8","design","ui","w2","",""
"Task","ML design document","Write docs/06-ml-design.md - the first thing the supervisor asks for.

Acceptance criteria:
- Problem formulation: recommendation as top-N ranking, forecasting as time-series regression.
- Data sources and features per module.
- Algorithm ladder: baseline -> content-based -> collaborative -> hybrid;
  naive -> moving average -> SARIMA/Prophet -> LightGBM.
- Train/test split strategy (temporal, rolling origin) and leakage rules.
- Evaluation metrics per module.
- Serving strategy (batch vs real-time) and cold-start handling.","Highest","","EP2 Architecture & System Design","5","design","ml","w2","",""
"Task","Sequence diagrams for recommendation and forecast flows","Document the runtime interaction between the three services.

Acceptance criteria:
- Sequence diagram: user opens Home -> NestJS -> cache hit/miss -> ML service -> response,
  including the fallback branch when ML is unavailable.
- Sequence diagram: nightly cron -> aggregate sales_daily -> train -> write forecasts ->
  admin loads Forecast page.
- Both exported to docs/ and used in report chapter 4.","Medium","","EP2 Architecture & System Design","3","design","w2","","",""
"Task","Download and licence-check the public datasets","Acquire the datasets chosen in the architecture ticket.

Acceptance criteria:
- RetailRocket Recommender System Dataset (Kaggle) downloaded to data/raw/.
- Online Retail II (UCI) downloaded to data/raw/.
- Olist dataset downloaded if catalog/review enrichment is used.
- Licence and attribution recorded in docs/ for the report.
- data/raw/ confirmed git-ignored; a README documents how to re-download.","Highest","","EP3 Data Strategy & Dataset Pipeline","2","data","w2","","",""
"Task","Exploration notebook for RetailRocket (recommendation data)","Create ml-service/notebooks/01_data_exploration.ipynb.

Acceptance criteria:
- Reports row count, unique visitors, unique items, events per type and full date range.
- Funnel conversion rates (view -> addtocart -> transaction) computed.
- Long-tail / popularity distribution plotted.
- Sparsity of the user-item matrix computed and noted (drives CF feasibility).
- Findings summarised in markdown cells - this notebook is report evidence.","Highest","","EP3 Data Strategy & Dataset Pipeline","5","data","ml","w2","",""
"Task","Exploration notebook for Online Retail II (forecasting data)","Create ml-service/notebooks/02_forecast_data_exploration.ipynb.

Acceptance criteria:
- Daily and weekly aggregation of quantity per StockCode.
- Date range, number of SKUs with sufficient history, and intermittent-demand SKUs identified.
- Seasonality and weekday effects plotted; returns/negative quantities and cancellations handled.
- Decision recorded on which SKU subset is used for modelling.","Highest","","EP3 Data Strategy & Dataset Pipeline","5","data","ml","w2","",""
"Task","Seed script 01: load products into the catalog","Build data/seed/01_load_products.py.

Acceptance criteria:
- Maps dataset item properties into the products schema (sku, title, description,
  categoryId, brand, price, attributes, tags, images, stock).
- Categories created from the dataset category tree.
- Idempotent (safe to re-run) and logs inserted/updated counts.
- At least 2000 products present in MongoDB afterwards.","High","","EP3 Data Strategy & Dataset Pipeline","5","data","w3","","",""
"Task","Seed script 02: load anonymized users","Build data/seed/02_load_users.py.

Acceptance criteria:
- Dataset visitor ids mapped to user documents with synthetic emails and hashed passwords.
- No real personal data imported; anonymisation approach noted in docs.
- A known demo customer and demo admin account created for the presentation.","Medium","","EP3 Data Strategy & Dataset Pipeline","3","data","w3","","",""
"Task","Seed script 03: load events into user_events","Build data/seed/03_load_events.py.

Acceptance criteria:
- RetailRocket event types mapped to our vocabulary
  (view -> view, addtocart -> add_to_cart, transaction -> purchase).
- Epoch timestamps converted to Date; sessionId derived using a 30-minute inactivity gap.
- Bulk-insert in batches so a multi-million-row load completes without exhausting memory.
- Post-load counts per eventType printed and validated against the notebook figures.","Highest","","EP3 Data Strategy & Dataset Pipeline","8","data","w3","","",""
"Task","Seed script 04: build the sales_daily aggregate table","Build data/seed/04_build_sales_daily.py - the forecasting training table.

Acceptance criteria:
- One document per productId per date with unitsSold, revenue, avgPrice, discountPct.
- Calendar flags computed: isWeekend, isHoliday, promoFlag.
- Zero-sales days explicitly filled (a gap is not the same as zero demand).
- stockOutHours populated where derivable so censored demand can be masked later.
- Unique compound index {productId:1, date:1} enforced.","Highest","","EP3 Data Strategy & Dataset Pipeline","8","data","w3","","",""
"Task","Seed script 05: calibrated synthetic data generator","Build data/seed/05_synthetic_generator.py for demo seeding and local seasonality.

Acceptance criteria:
- Zipf (80/20) popularity distribution across products.
- Funnel probabilities: view 100% -> cart ~10% -> purchase ~3%.
- Session-based browsing (1-2 categories per session).
- Seasonality rules: summer -> cooling appliances up, winter -> jackets up,
  Ramzan -> food/dates up, school season -> bags/stationery up.
- Weekly pattern (weekend spike) plus promo days (Black Friday style spike).
- Random noise of +/-10%.
- Generates 12-24 months of history; every row tagged source:""synthetic"".","High","","EP3 Data Strategy & Dataset Pipeline","8","data","w3","","",""
"Task","Data quality validation and dataset documentation","Verify the seeded data before any model is trained on it.

Acceptance criteria:
- Referential checks: every user_events.productId exists in products.
- No duplicate {productId,date} rows in sales_daily; no negative unitsSold.
- Date ranges continuous; outliers reported.
- Row counts per collection recorded in docs/ for the report.
- Synthetic vs real rows separable by the source field.","High","","EP3 Data Strategy & Dataset Pipeline","3","data","w3","","",""
"Task","Bootstrap NestJS app with config and MongoDB connection","nest new backend, then wire configuration and the database.

Acceptance criteria:
- @nestjs/config loads .env (MONGO_URI, JWT secrets, ML_URL, ML_API_KEY).
- MongooseModule.forRootAsync connects successfully on boot.
- Health endpoint returns app + database status.
- Prettier/ESLint configured and passing.","Highest","","EP4 Backend Core (NestJS)","3","backend","w3","","",""
"Story","Auth module: register, login, refresh with JWT","As a user I want to register and log in so my activity and orders are tied to my account.

Acceptance criteria:
- POST /auth/register, POST /auth/login, POST /auth/refresh, GET /auth/me implemented.
- Passwords hashed with bcrypt; access + refresh token pair issued.
- JWT guard protects private routes; invalid/expired tokens return 401.
- DTO validation with class-validator on every input.
- Verified end to end in Postman.","Highest","","EP4 Backend Core (NestJS)","8","backend","auth","w3","",""
"Task","Roles guard and RBAC for customer vs admin","Add role-based authorization.

Acceptance criteria:
- @Roles('admin') decorator plus a RolesGuard registered globally.
- All /admin/* routes reject customer tokens with 403.
- Role stored on the user document and carried in the JWT payload.
- Covered by unit tests.","High","","EP4 Backend Core (NestJS)","3","backend","auth","w3","",""
"Story","Categories module","As a customer I want to browse products by category.

Acceptance criteria:
- GET /categories returns the category tree.
- Admin CRUD for categories behind the roles guard.
- Seeded categories returned correctly.","Medium","","EP4 Backend Core (NestJS)","3","backend","w4","","",""
"Story","Products module with filtering, sorting, pagination and search","As a customer I want to search and filter the catalog.

Acceptance criteria:
- GET /products supports category, q, minPrice, maxPrice, sort, page and limit.
- Text search backed by the products text index on title+tags.
- GET /products/:id returns full detail; 404 handled cleanly.
- Admin CRUD for products behind the roles guard.
- Response times acceptable on the seeded 2000+ product catalog.","Highest","","EP4 Backend Core (NestJS)","8","backend","w4","","",""
"Story","Cart module","As a customer I want a persistent cart across sessions.

Acceptance criteria:
- GET / POST / PATCH / DELETE /cart scoped to the authenticated user.
- Quantity update and item removal supported; totals computed server-side.
- Cart survives logout/login.
- Stock availability checked when items are added.","High","","EP4 Backend Core (NestJS)","5","backend","w5","","",""
"Story","Wishlist module","As a customer I want to save products for later.

Acceptance criteria:
- GET / POST / DELETE /wishlist scoped to the user.
- Duplicate additions are idempotent.
- Wishlist actions also emit a wishlist event for the recommender.","Medium","","EP4 Backend Core (NestJS)","3","backend","w5","","",""
"Story","Orders module with stock decrement and status flow","As a customer I want to place an order and track its status.

Acceptance criteria:
- POST /orders creates an order from the cart with embedded order_items.
- Stock decremented atomically (transaction / findOneAndUpdate guard); overselling impossible.
- Order status flow implemented (placed -> confirmed -> shipped -> delivered / cancelled).
- GET /orders and GET /orders/:id return only the caller's orders.
- Placing an order emits purchase events per item with quantity and price.","Highest","","EP4 Backend Core (NestJS)","8","backend","w5","","",""
"Story","Events module for behavior tracking","As the system I need every meaningful user action captured, because user_events is the
fuel for M1 and M3.

Acceptance criteria:
- POST /events and POST /events/bulk implemented with DTO validation.
- Accepts view, click, search, add_to_cart, remove_from_cart, wishlist, purchase, rate.
- Optional fields honoured: searchQuery, dwellTimeSec, quantity, price, device, source.
- Works for anonymous visitors via anonId and for logged-in users via userId.
- Writes are non-blocking and never fail the originating user action.
- Indexes created; ingestion verified under a burst of bulk writes.","Highest","","EP4 Backend Core (NestJS)","8","backend","tracking","w6","",""
"Task","ML client with timeout, retry and fallback","Build the common HttpService wrapper that every ML call goes through.

Acceptance criteria:
- Wraps @nestjs/axios with an 800ms-1500ms timeout and the x-api-key header.
- Returns null instead of throwing when the ML service is down, and logs a warning.
- Callers implement the fallback chain rather than surfacing an error.
- Unit tested with the ML service stubbed as unavailable.","Highest","","EP4 Backend Core (NestJS)","5","backend","ml","w6","",""
"Task","Cross-cutting concerns: validation, error filter, logging","Harden the API surface.

Acceptance criteria:
- Global ValidationPipe with whitelist and forbidNonWhitelisted.
- Global exception filter producing the agreed error envelope.
- Request logging interceptor with correlation id.
- Consistent 4xx/5xx behaviour verified in Postman.","High","","EP4 Backend Core (NestJS)","3","backend","w6","","",""
"Task","Scheduler module for nightly jobs","Add @nestjs/schedule and register the batch jobs.

Acceptance criteria:
- Nightly: rebuild sales_daily aggregates, refresh user_profiles, trigger recommendation
  precompute, trigger daily forecast batch.
- Each job is idempotent, logs start/end/duration, and can be triggered manually by an admin.
- Job failures raise an admin notification rather than failing silently.","Medium","","EP4 Backend Core (NestJS)","5","backend","w6","","",""
"Story","Notifications module for stock alerts and order status","As an admin I want to be alerted when a product is at risk of stocking out.

Acceptance criteria:
- Low-stock and forecast-risk alerts written to stock_alerts.
- Order status change notifications for customers.
- GET /admin/forecast/alerts returns the active alert list.
- Alerts deduplicated so the same product does not spam the list daily.","Medium","","EP4 Backend Core (NestJS)","5","backend","w13","","",""
"Task","Security hardening: rate limiting, CORS, secrets","Production-safety pass on the API.

Acceptance criteria:
- @nestjs/throttler applied to auth and assistant endpoints.
- CORS restricted to the frontend origin only.
- Helmet-style headers enabled; no secrets in the repository.
- ML service reachable only with the shared API key.","Medium","","EP4 Backend Core (NestJS)","3","backend","security","w15","",""
"Task","Bootstrap the FastAPI ML service","Create the ml-service skeleton.

Acceptance criteria:
- venv created; fastapi, uvicorn, pymongo, pandas, numpy, scikit-learn, implicit, lightgbm,
  statsmodels, joblib and python-dotenv installed; requirements.txt frozen.
- App structure in place: app/main.py, app/routers/, app/services/, app/features/, app/models/,
  training/, notebooks/.
- uvicorn app.main:app --reload --port 8000 serves successfully.","Highest","","EP5 ML Service Foundation (FastAPI)","3","ml","w4","","",""
"Task","MongoDB access layer for the ML service","Give the ML service read/write access to the shared database.

Acceptance criteria:
- pymongo client configured from environment variables with connection pooling.
- Helper functions to read user_events, products and sales_daily into pandas DataFrames.
- Helper functions to upsert into recommendations and forecasts.
- Large reads are chunked so memory stays bounded.","High","","EP5 ML Service Foundation (FastAPI)","5","ml","w4","","",""
"Task","Model registry: startup loading and versioning","Load model artifacts once, not per request.

Acceptance criteria:
- Models loaded with joblib at application startup and held in memory.
- A version string per model (als_v2, lgbm_v3, content_v1) exposed through the registry.
- Hot-reload endpoint or restart-on-retrain strategy documented.
- Missing artifacts degrade gracefully instead of crashing the service.","High","","EP5 ML Service Foundation (FastAPI)","5","ml","w4","","",""
"Task","Health endpoint reporting loaded model versions","Implement GET /ml/health.

Acceptance criteria:
- Returns status plus a map of model name to loaded version and last-trained timestamp.
- Reports database connectivity.
- Consumed by the NestJS admin health card.","Medium","","EP5 ML Service Foundation (FastAPI)","2","ml","w4","","",""
"Task","API-key authentication between NestJS and the ML service","The ML service must never be callable from a browser.

Acceptance criteria:
- x-api-key header required on every /ml/* route except health.
- Key sourced from environment variables on both sides.
- Requests without a valid key are rejected with 401.
- Documented in the API contract as internal-only.","High","","EP5 ML Service Foundation (FastAPI)","3","ml","security","w4","",""
"Task","Training entrypoints runnable from CLI and cron","Make training reproducible - an explicit FYP requirement.

Acceptance criteria:
- python training/train_recommender.py and python training/train_forecast.py run end to end
  from a clean checkout.
- Each writes a versioned artifact into app/models/ and logs the metrics it achieved.
- POST /ml/train/recommender and POST /ml/train/forecast trigger the same code paths.
- Run duration and dataset snapshot recorded in the training log.","High","","EP5 ML Service Foundation (FastAPI)","5","ml","w4","","",""
"Story","Level 0 popularity baseline recommender","As a customer I want to see popular products so the site is never empty - and as the team
we need the baseline that every later model is measured against.

Acceptance criteria:
- Score combines purchaseCount, viewCount, rating and recency.
- Implemented as a MongoDB aggregation exposed through GET /recommendations/trending.
- Metrics computed and recorded as the first row of the evaluation table.
- Documented in docs/06-ml-design.md as the baseline.","Highest","","EP6 M1 Recommendation Engine","5","ml","M1","baseline","w4",""
